Segment,label,count,mean,median,min,max,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>,,,,,,,,,,,
8,SalesOrder_Base,50,3235.1,2255.0,1999.0,15164.0,5071.9,9371.3,14327.1,0.0,149.9,,,,,,,,,,
8,TnT_Base,67,158.7,99.0,73.0,2199.0,168.8,213.4,1665.1,0.1,200.8,,,,,,,,,,
8,Token Request,1,157.0,157.0,157.0,157.0,157.0,157.0,157.0,0.0,3.0,,,,,,,,,,
8,WG_Base,7,2480.7,1762.0,1553.0,6197.0,4118.6,5157.8,5989.2,0.0,21.0,,,,,,,,,,
9,QSL_Base,10,5215.3,4833.5,4290.0,6731.0,6658.1,6694.6,6723.7,0.0,29.9,,,,,,,,,,
9,RTSA_40th,14822,3240.1,2913.0,1372.0,14732.0,4915.8,5744.9,7898.8,12.3,44353.4,,,,,,,,,,
9,SalesOrder_800,265,5274.0,5089.0,2490.0,17843.0,7648.8,8735.2,11180.8,0.2,793.0,,,,,,,,,,
9,TnT_7Th,91199,91.9,85.0,60.0,1482.0,113.0,127.0,185.0,75.8,272904.3,,,,,,,,,,
9,Token Request,1,141.0,141.0,141.0,141.0,141.0,141.0,141.0,0.0,3.0,,,,,,,,,,
9,WG_Base,7,3408.6,3327.0,1737.0,4742.0,4600.4,4671.2,4727.8,0.0,20.9,,,,,,,,,,
10,QSL_Base,10,3577.5,3468.0,3107.0,4890.0,4047.6,4468.8,4805.8,0.0,30.0,,,,,,,,,,
10,RTSA_Base,1978,1828.3,1541.0,1259.0,19678.0,2214.3,2791.3,7451.4,1.6,5927.2,,,,,,,,,,
10,SalesOrder_Base,50,2829.8,2496.0,2184.0,6549.0,3765.0,4160.9,5667.5,0.0,149.8,,,,,,,,,,
10,TnT_Base,67,142.0,115.0,75.0,648.0,210.8,356.3,568.1,0.1,200.8,,,,,,,,,,
10,Token Request,1,135.0,135.0,135.0,135.0,135.0,135.0,135.0,0.0,3.0,,,,,,,,,,
10,WG_Base,7,1978.9,1744.0,1501.0,2953.0,2677.6,2815.3,2925.5,0.0,21.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,3036,3324,9%,5335,76%
,,,,,,,,,,,,,,,,,4480,4532,1%,5653,26%
,,,,,,,,,,,,,,,,,2308,2639,14%,3422,48%
,,,,,,,,,,,,,,,,,140,212,51%,140,0%
