Segment,label,count,mean,median,min,max,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>
8,WG_Base,30,2588.9,2390.5,2014,6218,2958.5000000000005,3645.6999999999975,5591.310000000002,0.016654897205974444
9,QSL_Base,30,20325.6,16895.0,12845,74540,23738.700000000004,40199.249999999935,67699.48000000003,0.01665225321638271
9,RTSA-EDD_20Th,11488,3133.9441155988857,2676.0,1357,21521,4693.300000000001,5646.0,10605.049999999932,6.376702831660152
9,RTSA_Details_20Th,11612,3100.969514295556,2642.0,1308,21600,4631.9,5578.0,11085.469999999987,6.445532144954534
9,SalesOrder_Base,30,10364.9,9267.0,5756,27787,15643.1,16361.849999999999,24560.75000000001,0.01665225321638271
9,TnT_7Th,162242,77.48831375352869,70.0,55,1345,98.0,116.0,171.0,90.05649554441212
9,WG_Base,30,5029.7,3783.5,2543,19889,6985.800000000001,11029.499999999982,18106.660000000003,0.01665225321638271
10,QSL_Base,18,12206.277777777777,11815.5,11186,14947,13293.0,13808.849999999999,14719.369999999997,0.01737746953150342
10,RTSA-EDD_Base,865,1593.7526011560694,1462.0,1263,6928,1998.0000000000002,2232.0,2841.36,0.8350839524861365
10,RTSA_Details_Base,865,1594.9919075144508,1473.0,1251,6896,2038.8000000000002,2264.0,2710.5600000000004,0.8350839524861365
10,SalesOrder_Base,18,5525.333333333333,5208.0,4971,7422,6176.2,6448.749999999998,7227.349999999998,0.01737746953150342
10,TnT_Base,58,107.01724137931035,79.0,65,652,156.3,191.89999999999986,489.54999999999995,0.05599406849039991
10,WG_Base,18,2577.3888888888887,2490.0,2096,3673,3227.4,3406.0999999999995,3619.6199999999994,0.01737746953150342
