Segment,label,count,mean,median,min,max,<lambda_0>,<lambda_1>,<lambda_2>,<lambda_3>,,,,,,,,
10,Siebel_Base,83,7514,2597,2042,36843,26426,31199,33709,0,245,,,,,,,
10,TnT_Base,67,926,196,105,6021,2924,3353,4360,0,197,,,,,,,
10,Token Request,1,268,268,268,268,268,268,268,0,3,,,,,,,
10,WG_Base,7,3483,2840,1805,5463,4978,5221,5415,0,21,,,,,,,
11,QSL_Base,10,22455,24390,9073,27021,26413,26717,26960,0,30,,,,,,,
11,RTSA-EDD_40th_All,3088,7782,7667,2310,29639,10177,11165,17287,3,9228,,,,,,,
11,RTSA_40th_All,3110,7725,7653,2231,28401,10174,11265,17093,3,9293,,,,,,,
11,Siebel_1450_All,245,22258,24424,4817,42293,30460,30986,33282,0,732,,,,,,,
11,TnT_7Th_All,11020,762,131,91,4977,2519,2559,3774,9,32930,,,,,,10.86,39096
11,Token Request,1,273,273,273,273,273,273,273,0,3,,,,,,43.98,
11,WG_200_All,67,5098,4665,2904,27222,6659,7802,15064,0,200,,,,,,77.09,
12,QSL_Base,10,17192,11171,7122,62067,25360,43713,58396,0,30,,,,,,,
12,RTSA-EDD_40th_All,5067,4746,3950,1753,31538,6839,8113,25395,4,15133,,,,,,,
12,RTSA_40th_All,5081,4732,3942,1670,30819,6782,8049,25878,4,15174,,,,,,,
12,Siebel_1450_All,282,12190,9573,4004,52507,18250,36142,48820,0,842,,,,,,,
12,TnT_7Th_All,31904,263,124,91,6741,816,993,1274,26,95282,,,,,,43.98,158328
12,Token Request,1,247,247,247,247,247,247,247,0,3,,,,,,,
12,WG_200_All,63,7829,4712,2187,45383,15059,27689,38376,0,188,,,,,,,
13,QSL_Base,10,7090,6054,4414,13936,12367,13152,13779,0,30,,,,,,,
13,RTSA-EDD_Base,1141,3278,2741,1355,16377,5393,6881,11234,1,3416,,,,,,,
13,RTSA_Base,1138,3263,2716,1346,18785,5297,6598,12669,1,3407,,,,,,,
13,Siebel_Base,96,6682,4955,2414,27041,12402,16298,26666,0,287,,,,,,,
13,TnT_Base,67,624,350,110,2960,1559,2117,2526,0,201,,,,,,77.09,277524
13,Token Request,1,260,260,260,260,260,260,260,0,3,,,,,,,
13,WG_Base,7,5002,3944,1913,10956,9787,10371,10839,0,21,,,,,,,
14,QSL_Base,10,11457,6775,4198,28647,28066,28356,28589,0,30,,,,,,,
14,RTSA-EDD_Base,1131,3371,2755,1355,15075,5845,7017,11092,1,3386,,,,,,,
14,RTSA_Base,1130,3373,2725,1382,14497,5943,7573,10311,1,3383,,,,,,,
14,Siebel_Base,93,7398,4816,2553,29362,14395,19485,25450,0,278,,,,,,,
14,TnT_Base,67,474,227,104,3228,1255,1410,2263,0,201,,,,,,,
14,Token Request,1,248,248,248,248,248,248,248,0,3,,,,,,,
14,WG_Base,7,6386,2960,2330,20700,13417,17059,19972,0,21,,,,,,,
15,QSL_BAU,7,11507,6123,3148,30024,26446,28235,29666,0,21,,,,,,,
15,RTSA-EDD_BAU,399,3446,1789,1256,27228,5340,16526,26752,0,1197,,,,,,,
15,RTSA_BAU,380,2900,1637,1251,26799,4019,8806,23172,0,1140,,,,,,,
15,Siebel_BAU,34,5581,3379,2087,28665,9625,23618,28314,0,102,,,,,,,
15,TnT_BAU,50,259,128,107,2720,292,857,1960,0,150,,,,,,,
15,Token Request,1,263,263,263,263,263,263,263,0,3,,,,,,,
15,WG_BAU,7,6142,2814,1528,27222,13853,20538,25885,0,21,,,,,,,
,,10396,2309,1963,1351,10570,3360,4460,6909,8.650703307,31143,,,,,,,
,,11394,4224,3271,1387,39120,6942,8546,17910,9.439464484,33982.07,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
QSL,40,8427,5282,3070,28647,21654,26526,28395.06,,,,,,,,,,
RTSA-EDD,4426,3093,2149,1227,17899,6379,8719,11545.25,,,,,,,,,,
RTSA,4426,3076,2132,1250,19303,6389,8728,11544.5,,,,,,,,,,
Siebel,365,6498,3929,2001,36843,15359,22793,31520.92,,,,,,,,,,
TnT,268,620,220,103,6021,1828,2590,3451.47,,,,,,,,,,
WG,28,4272,2734,1467,20700,8695,10274,18069.12,,,,,,,,,,
